PropertyBritish,Word,DominantModality,Sight,Touch,Sound,Taste,Smell,ModalityExclusivity
rustling,rustling,Auditory,3.047619048,2.523809524,4.666666667,0.2,0.55,0.406500542
rusty,rusty,Visual,4.285714286,3,1.142857143,0.666666667,1.571428571,0.339285714
salty,salty,Gustatory,1.857142857,0.666666667,0.047619048,4.80952381,1.714285714,0.523560209
savoury,savory,Gustatory,2.666666667,0.333333333,0.19047619,5,3.523809524,0.410569106
scaly,scaly,Haptic,4.333333333,4.428571429,0.142857143,1,0.095238095,0.433333333
scented,scented,Olfactory,1,0.095238095,0.047619048,2.333333333,4.761904762,0.572254335
scentless,scentless,Olfactory,1,0.19047619,0.19047619,2.380952381,4.428571429,0.51744186
scratchy,scratchy,Haptic,2.857142857,4.142857143,3.285714286,0.047619048,0.095238095,0.392694064
scrawny,scrawny,Visual,4.761904762,2.571428571,0.666666667,0.285714286,0.285714286,0.522222222
screaming,screaming,Auditory,2.80952381,0.142857143,4.952380952,0.047619048,0.047619048,0.613095238
screeching,screeching,Auditory,2.333333333,0.333333333,4.952380952,0.095238095,0.238095238,0.610778443
searing,searing,Visual,3.666666667,1.866666667,2.2,0.466666667,0.666666667,0.360902256
shadowy,shadowy,Visual,4.714285714,0.285714286,0.285714286,0.142857143,0.142857143,0.820512821
shaggy,shaggy,Visual,4.19047619,4.095238095,0.19047619,0,0.142857143,0.486187845
shallow,shallow,Visual,4.238095238,3.333333333,1.380952381,0.285714286,0.19047619,0.429292929
sharp,sharp,Haptic,4.428571429,4.571428571,1.047619048,1.19047619,0.333333333,0.366255144
sheer,sheer,Visual,4.526315789,2.894736842,0.578947368,0,0,0.565789474
shimmering,shimmering,Visual,4.761904762,0.857142857,0.761904762,0.238095238,0.333333333,0.650684932
shiny,shiny,Visual,4.952380952,1.857142857,0.095238095,0.047619048,0.047619048,0.700680272
short,short,Visual,4.952380952,3.238095238,0.571428571,0.142857143,0.142857143,0.531578947
shrieking,shrieking,Auditory,2.714285714,0.142857143,4.952380952,0.142857143,0.142857143,0.594117647
shrill,shrill,Auditory,1.526315789,0.263157895,4.789473684,0.105263158,0.105263158,0.689922481
silent,silent,Auditory,1.952380952,0.142857143,5,0.095238095,0,0.695364238
silky,silky,Haptic,3.761904762,4.904761905,0.238095238,0.380952381,0,0.528205128
silver,silver,Visual,4.571428571,0.666666667,0.047619048,0.238095238,0.333333333,0.772357724
skinny,skinny,Visual,4.904761905,4,0.380952381,0.142857143,0.19047619,0.495049505
slick,slick,Visual,3.80952381,3.523809524,1.571428571,0.142857143,0.19047619,0.396907216
slimy,slimy,Haptic,3.80952381,4.523809524,0.80952381,2.047619048,0.857142857,0.308300395
slippery,slippery,Haptic,3.857142857,4.619047619,1.476190476,1.285714286,0.476190476,0.353658537
slushy,slushy,Visual,3.571428571,3.523809524,2.238095238,1.857142857,0.428571429,0.270491803
small,small,Visual,4.952380952,3.666666667,0.428571429,0,0,0.547368421
smelly,smelly,Olfactory,1.380952381,0.238095238,0.333333333,1.428571429,5,0.568181818
smoky,smoky,Olfactory,4.523809524,0.476190476,0.666666667,3.333333333,4.571428571,0.301754386
smooth,smooth,Haptic,4.142857143,4.952380952,1.333333333,1.857142857,0.380952381,0.360902256
snarling,snarling,Auditory,3.523809524,0.238095238,4.380952381,0,0,0.538011696
snorting,snorting,Auditory,2.8,0.3,4.65,0.35,0.35,0.514792899
soapy,soapy,Visual,3.80952381,3.666666667,0.666666667,1.714285714,3.19047619,0.240875912
sodden,sodden,Visual,3.666666667,3.555555556,0.388888889,0.111111111,0.722222222,0.421052632
soft,soft,Haptic,4.142857143,4.952380952,1.666666667,1.333333333,0.666666667,0.335820896
soggy,soggy,Haptic,3.952380952,4.285714286,1.238095238,2.047619048,1.19047619,0.243445693
solid,solid,Haptic,4.571428571,4.80952381,1.857142857,1.714285714,0.19047619,0.351449275
sonorous,sonorous,Auditory,0.666666667,0.888888889,4.777777778,0,0.111111111,0.74137931
sore,sore,Haptic,3.19047619,4.285714286,1.047619048,0.095238095,0.095238095,0.480874317
soundless,soundless,Auditory,1.714285714,0.333333333,4.428571429,0.047619048,0.047619048,0.666666667
sour,sour,Gustatory,1.19047619,0.047619048,0.142857143,4.80952381,2.714285714,0.534759358
sparkly,sparkly,Visual,4.571428571,1.285714286,1.19047619,0.19047619,0.142857143,0.6
speckled,speckled,Visual,4.714285714,1.428571429,0.333333333,0.142857143,0.238095238,0.666666667
spicy,spicy,Gustatory,1.666666667,0.428571429,0.333333333,5,4.238095238,0.4
spiky,spiky,Haptic,4.523809524,4.857142857,0.666666667,0.80952381,0.142857143,0.428571429
spilling,spilling,Visual,4.428571429,2.380952381,1.952380952,0.142857143,0.714285714,0.445544554
spotless,spotless,Visual,5,1.761904762,0.095238095,0.1,0.80952381,0.631514408
spotted,spotted,Visual,4.666666667,1.19047619,0.571428571,0.19047619,0.095238095,0.680851064
square,square,Visual,4.428571429,4,0,0.047619048,0,0.52247191
squeaking,squeaking,Auditory,1.380952381,0.904761905,4.523809524,0.047619048,0.047619048,0.648275862
squealing,squealing,Auditory,2.047619048,0.19047619,4.666666667,0,0,0.675862069
stagnant,stagnant,Visual,3.15,1.05,0.4,1.05,3.1,0.314285714
stale,stale,Gustatory,3.761904762,2.714285714,0.714285714,4.714285714,3.80952381,0.254545455
steep,steep,Visual,4.952380952,2.571428571,0.857142857,0.095238095,0.095238095,0.566666667
stenchy,stenchy,Olfactory,1.904761905,0.19047619,0.333333333,1.523809524,4.904761905,0.532258065
sticky,sticky,Haptic,3.095238095,4.619047619,0.047619048,2.380952381,0.428571429,0.432432432
stinging,stinging,Haptic,1.761904762,4.666666667,0.380952381,0.142857143,0.047619048,0.659863946
stinky,stinky,Olfactory,1.476190476,0.095238095,0.238095238,1.952380952,4.761904762,0.547486034
stormy,stormy,Visual,4.333333333,0.428571429,4.333333333,0.047619048,1.2,0.414364641
straight,straight,Visual,4.904761905,4,0.19047619,0.095238095,0.047619048,0.525773196
strange,strange,Visual,4.142857143,2.523809524,3.380952381,3.476190476,3.333333333,0.096045198
striped,striped,Visual,4.523809524,0.904761905,0.285714286,0.095238095,0.047619048,0.764227642
strong,strong,Visual,3.904761905,3.714285714,1.904761905,3.285714286,3,0.126506024
sturdy,sturdy,Haptic,4.142857143,4.19047619,0.761904762,0.285714286,0.238095238,0.410891089
sunny,sunny,Visual,4.952380952,0.952380952,0.285714286,0.095238095,0.285714286,0.739130435
sweaty,sweaty,Olfactory,3.80952381,3.523809524,0.238095238,1.428571429,4.047619048,0.291970803
sweet,sweet,Gustatory,2.19047619,0.571428571,1.19047619,4.857142857,3.904761905,0.337078652
swift,swift,Visual,4.571428571,1.238095238,2.857142857,0.095238095,0.238095238,0.497354497
swinging,swinging,Visual,4.428571429,2.666666667,1.571428571,0.095238095,0.095238095,0.489247312
tall,tall,Visual,4.904761905,2.714285714,0.19047619,0,0,0.62804878
tangerine,tangerine,Visual,4.333333333,2.095238095,0.285714286,4.19047619,3.238095238,0.286195286
tangy,tangy,Gustatory,0.80952381,0.19047619,0.19047619,4.75,3.095238095,0.504611331
tapering,tapering,Visual,3.4,3,0.6,0.2,0.2,0.432432432
tarry,tarry,Visual,3.882352941,2.411764706,0,0.470588235,2.235294118,0.431372549
tart,tart,Gustatory,2.421052632,0.842105263,0.105263158,4.157894737,1.894736842,0.430167598
tasteless,tasteless,Gustatory,1.095238095,0.19047619,0.333333333,4.333333333,3.238095238,0.450777202
tasty,tasty,Gustatory,2.761904762,0.333333333,0.19047619,5,3.904761905,0.39453125
tender,tender,Haptic,3,3.952380952,1.619047619,2.619047619,1.238095238,0.218390805
tepid,tepid,Haptic,1,3.684210526,0.315789474,1.368421053,0.473684211,0.492307692
thorny,thorny,Haptic,4.428571429,4.904761905,0.761904762,0.761904762,0.238095238,0.420600858
thudding,thudding,Auditory,2.857142857,2.238095238,4.571428571,0.047619048,0.047619048,0.463414634
thumping,thumping,Auditory,2.619047619,2.523809524,3.904761905,0.142857143,0.19047619,0.401015228
thunderous,thunderous,Auditory,3.142857143,0.380952381,4.523809524,0,0.380952381,0.536723164
ticklish,ticklish,Haptic,2.666666667,4.666666667,1.095238095,0.19047619,0.142857143,0.516304348
tight,tight,Haptic,3.904761905,4.142857143,0.714285714,0,0.095238095,0.467741935
tingly,tingly,Haptic,0.9,4.8,0.5,1.15,0.4,0.567741935
tinkling,tinkling,Auditory,1.8,1.5,4.15,0,0.2,0.54248366
tiny,tiny,Visual,4.619047619,3.333333333,0.619047619,0.238095238,0.047619048,0.516129032
tough,tough,Haptic,3.380952381,3.761904762,0.571428571,2.142857143,0.142857143,0.361904762
translucent,translucent,Visual,4.684210526,1.052631579,0.421052632,0.210526316,0.210526316,0.68
transparent,transparent,Visual,4.80952381,0.619047619,0.25,0.142857143,0.142857143,0.78243513
triangular,triangular,Visual,4.619047619,3.571428571,0.285714286,0,0,0.54494382
ugly,ugly,Visual,5,1.666666667,0.857142857,0.714285714,1.142857143,0.456852792
uneven,uneven,Visual,4.571428571,4.285714286,1.523809524,0.428571429,0.428571429,0.368644068
unpalatable,unpalatable,Gustatory,3.529411765,1.352941176,0.235294118,4.764705882,3.705882353,0.333333333
unripe,unripe,Visual,4.142857143,3.428571429,0.285714286,3.952380952,2.666666667,0.266447368
vegetal,vegetal,Visual,3.909090909,1.454545455,0.181818182,3.272727273,2.6,0.326433121
vinegary,vinegary,Gustatory,1.761904762,0.380952381,0,4.952380952,4.19047619,0.438818565
vivid,vivid,Visual,4.523809524,1.19047619,2.523809524,1.714285714,1.619047619,0.288065844
wailing,wailing,Auditory,2.85,0.25,4.95,0.15,0.1,0.584337349
warbling,warbling,Auditory,1.9375,0.8125,3.9375,0.25,0.25,0.513043478
warm,warm,Haptic,2.380952381,4.80952381,0.619047619,2.857142857,1.142857143,0.35483871
waxy,waxy,Haptic,4,4.666666667,0.619047619,1.619047619,2.142857143,0.310218978
weak,weak,Visual,3.666666667,3.19047619,1.857142857,2.142857143,1.428571429,0.182170543
weightless,weightless,Haptic,3.047619048,4.285714286,1.238095238,0.285714286,0.142857143,0.46031746
wet,wet,Haptic,4.333333333,4.666666667,1.857142857,1.714285714,1.80952381,0.205298013
whiffy,whiffy,Olfactory,0.95,0.2,0.3,1.5,4.9,0.598726115
whimpering,whimpering,Auditory,3.142857143,0.380952381,4.80952381,0.047619048,0.19047619,0.555555556
whining,whining,Auditory,2.476190476,0.142857143,4.857142857,0.095238095,0.095238095,0.621118012
whispering,whispering,Auditory,2.428571429,0.238095238,4.666666667,0.047619048,0.095238095,0.617834395
whistling,whistling,Auditory,2.047619048,0.285714286,4.952380952,0.095238095,0.095238095,0.649681529
white,white,Visual,4.571428571,0.095238095,0.238095238,0.1,0.142857143,0.869565217
wide,wide,Visual,4.80952381,3.666666667,0.476190476,0.285714286,0.142857143,0.497461929
wiry,wiry,Visual,4.19047619,4.095238095,1.047619048,0.761904762,0.285714286,0.376146789
wispy,wispy,Visual,4.210526316,3.263157895,1.631578947,0.894736842,0.263157895,0.384615385
wizened,wizened,Visual,3.1,0.8,2.9,0.1,0.3,0.416666667
woolly,woolly,Haptic,4.285714286,4.428571429,0.142857143,0.142857143,0.142857143,0.46875
yellow,yellow,Visual,4.9,0,0.15,0.05,0.05,0.951456311
