Speaker,Modality,Verb,SemanticClass,LengthOfRecipient,AnimacyOfRec,DefinOfRec,PronomOfRec,LengthOfTheme,AnimacyOfTheme,DefinOfTheme,PronomOfTheme,RealizationOfRecipient,AccessOfRec,AccessOfTheme
NA,written,send,a,2,animate,definite,nonpronominal,16,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,cost,p,1,animate,definite,pronominal,1,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,12,inanimate,definite,nonpronominal,NP,accessible,new
NA,written,give,a,1,animate,definite,pronominal,7,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,3,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,guarantee,f,9,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,offer,a,3,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,7,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,3,animate,definite,nonpronominal,7,inanimate,definite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,10,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,14,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,2,inanimate,definite,nonpronominal,3,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,13,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,8,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,27,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,definite,nonpronominal,11,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,definite,nonpronominal,10,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,owe,f,2,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,send,t,1,animate,indefinite,nonpronominal,23,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,3,animate,definite,nonpronominal,26,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,t,1,animate,definite,pronominal,4,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,1,animate,definite,pronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,vote,a,4,animate,definite,pronominal,17,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,cost,p,1,animate,definite,pronominal,2,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,11,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,send,t,1,animate,definite,pronominal,8,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,12,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,grant,a,4,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,13,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,cost,p,1,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,32,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,cost,p,6,animate,definite,pronominal,4,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,14,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,cost,p,1,animate,definite,pronominal,9,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,1,animate,indefinite,nonpronominal,11,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,3,animate,indefinite,nonpronominal,10,inanimate,definite,nonpronominal,NP,accessible,new
NA,written,offer,t,1,animate,definite,pronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,1,animate,definite,pronominal,4,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,offer,a,3,animate,indefinite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,refuse,p,2,animate,definite,nonpronominal,3,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,nonpronominal,8,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,fine,p,2,animate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,grant,a,1,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,14,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,cost,p,1,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,hand,a,1,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,do,a,2,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,tell,c,7,animate,indefinite,nonpronominal,2,inanimate,definite,nonpronominal,NP,accessible,given
NA,written,give,a,3,animate,indefinite,nonpronominal,12,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,offer,t,1,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,feed,t,1,animate,definite,pronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,12,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,6,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,sell,t,2,animate,definite,nonpronominal,10,inanimate,definite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,indefinite,nonpronominal,15,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,3,animate,indefinite,nonpronominal,14,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,pronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,33,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,c,1,animate,definite,pronominal,10,inanimate,definite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,4,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,lend,t,2,animate,definite,nonpronominal,4,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,21,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,cost,p,1,animate,definite,pronominal,12,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,permit,a,2,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,1,animate,definite,pronominal,7,animate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,indefinite,nonpronominal,19,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,3,animate,definite,nonpronominal,11,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,give,a,3,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,3,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,cost,p,2,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,indefinite,nonpronominal,16,inanimate,definite,nonpronominal,NP,accessible,new
NA,written,give,a,6,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,cost,p,1,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,8,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,12,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,1,animate,definite,pronominal,4,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,offer,a,1,animate,definite,pronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,send,t,2,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,20,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,assure,a,2,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,1,animate,indefinite,nonpronominal,16,inanimate,definite,nonpronominal,NP,accessible,new
NA,written,give,a,10,animate,indefinite,nonpronominal,11,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,3,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,1,animate,definite,pronominal,13,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,3,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,2,animate,definite,nonpronominal,20,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,indefinite,nonpronominal,8,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,pay,t,2,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,2,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,indefinite,nonpronominal,3,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,3,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,nonpronominal,19,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,t,1,animate,definite,pronominal,12,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,indefinite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,c,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,owe,a,3,inanimate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,4,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,15,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,3,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,nonpronominal,9,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,serve,a,2,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,19,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,award,a,2,animate,definite,nonpronominal,10,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,15,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,pay,t,2,animate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,1,inanimate,definite,pronominal,PP,accessible,given
NA,written,give,a,2,inanimate,indefinite,nonpronominal,6,inanimate,definite,nonpronominal,PP,new,new
NA,written,give,c,4,animate,indefinite,nonpronominal,4,inanimate,definite,nonpronominal,PP,new,given
NA,written,give,a,6,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,sell,t,8,animate,indefinite,nonpronominal,6,inanimate,definite,nonpronominal,PP,new,new
NA,written,give,a,5,inanimate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,give,a,5,inanimate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,give,a,17,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,accessible,new
NA,written,send,t,5,animate,indefinite,nonpronominal,13,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,offer,a,6,animate,indefinite,nonpronominal,7,inanimate,indefinite,nonpronominal,PP,accessible,new
NA,written,offer,a,2,animate,indefinite,nonpronominal,1,inanimate,definite,pronominal,PP,given,given
NA,written,send,a,4,inanimate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,send,t,1,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,10,animate,definite,nonpronominal,5,inanimate,definite,nonpronominal,PP,new,new
NA,written,present,c,3,animate,indefinite,nonpronominal,3,inanimate,definite,nonpronominal,PP,accessible,given
NA,written,sell,t,1,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,submit,a,7,animate,indefinite,nonpronominal,2,inanimate,definite,nonpronominal,PP,new,given
NA,written,sell,t,4,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,give,a,9,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,give,a,11,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,offer,a,5,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,5,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,offer,a,4,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,give,a,10,inanimate,definite,nonpronominal,2,inanimate,definite,nonpronominal,PP,new,accessible
NA,written,sell,t,3,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,slip,t,4,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,given,new
NA,written,sell,t,2,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,PP,new,accessible
NA,written,pay,t,5,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,sell,t,3,animate,definite,nonpronominal,3,inanimate,definite,nonpronominal,PP,new,new
NA,written,sell,t,9,animate,indefinite,nonpronominal,6,inanimate,definite,nonpronominal,PP,new,new
NA,written,lend,a,8,inanimate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,sell,a,3,animate,definite,nonpronominal,1,inanimate,definite,pronominal,PP,new,given
NA,written,sell,t,12,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,give,a,6,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,1,animate,definite,nonpronominal,4,inanimate,definite,nonpronominal,PP,given,given
NA,written,loan,t,1,animate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,send,a,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,give,a,3,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,give,a,6,inanimate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,sell,t,9,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,PP,new,accessible
NA,written,pay,t,2,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,sell,t,13,animate,definite,nonpronominal,14,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,make,a,2,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,accessible,new
NA,written,give,a,7,animate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,6,animate,definite,nonpronominal,8,inanimate,indefinite,nonpronominal,PP,new,accessible
NA,written,send,c,9,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,new,accessible
NA,written,pay,t,2,animate,indefinite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,accessible,new
NA,written,offer,a,2,inanimate,indefinite,nonpronominal,7,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,deny,p,11,animate,indefinite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,new,accessible
NA,written,sell,t,8,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,4,animate,definite,nonpronominal,11,inanimate,definite,nonpronominal,PP,new,new
NA,written,pay,t,8,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,7,animate,indefinite,nonpronominal,5,inanimate,definite,nonpronominal,PP,new,new
NA,written,sell,t,7,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,give,a,2,inanimate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,bring,a,4,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,pay,t,2,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,accessible,new
NA,written,sell,t,6,animate,definite,nonpronominal,4,inanimate,definite,nonpronominal,PP,new,new
NA,written,sell,t,12,animate,definite,nonpronominal,5,inanimate,definite,nonpronominal,PP,new,new
NA,written,offer,a,2,animate,indefinite,pronominal,3,inanimate,definite,nonpronominal,PP,accessible,accessible
NA,written,sell,t,2,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,sell,t,5,animate,indefinite,nonpronominal,1,inanimate,definite,nonpronominal,PP,new,given
NA,written,show,c,2,animate,indefinite,nonpronominal,3,inanimate,definite,nonpronominal,PP,new,given
NA,written,offer,t,9,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,award,a,14,animate,definite,nonpronominal,5,inanimate,definite,nonpronominal,PP,new,accessible
NA,written,award,t,2,animate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,send,t,1,animate,indefinite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,accessible,new
NA,written,deliver,a,2,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,PP,given,new
NA,written,lend,a,2,inanimate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,grant,a,13,animate,indefinite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,9,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,pay,t,4,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,PP,given,new
NA,written,sell,t,1,animate,definite,nonpronominal,4,inanimate,definite,nonpronominal,PP,new,new
NA,written,sell,t,5,animate,definite,nonpronominal,8,inanimate,definite,nonpronominal,PP,new,new
NA,written,sell,t,6,animate,definite,nonpronominal,3,inanimate,definite,nonpronominal,PP,new,given
NA,written,send,t,5,animate,indefinite,nonpronominal,12,inanimate,definite,nonpronominal,PP,accessible,new
NA,written,give,t,2,animate,definite,nonpronominal,2,inanimate,definite,nonpronominal,PP,given,given
NA,written,give,a,1,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,accessible,new
NA,written,sell,t,14,animate,indefinite,nonpronominal,2,inanimate,definite,nonpronominal,PP,accessible,given
NA,written,give,a,2,animate,indefinite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,give,a,31,inanimate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,give,a,2,inanimate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,pay,t,1,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,pay,t,5,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,give,a,2,animate,definite,nonpronominal,1,inanimate,definite,pronominal,PP,accessible,given
NA,written,sell,t,2,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,PP,new,accessible
NA,written,sell,t,7,animate,definite,nonpronominal,7,inanimate,definite,nonpronominal,PP,new,new
NA,written,give,a,1,animate,indefinite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,lend,a,2,inanimate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,sell,t,1,animate,indefinite,nonpronominal,2,inanimate,definite,nonpronominal,PP,accessible,given
NA,written,give,a,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,sell,t,2,animate,definite,nonpronominal,7,inanimate,definite,nonpronominal,PP,given,new
NA,written,sell,t,11,animate,definite,nonpronominal,3,inanimate,definite,nonpronominal,PP,new,given
NA,written,sell,t,1,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,8,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,5,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,6,animate,definite,nonpronominal,3,inanimate,definite,nonpronominal,PP,new,new
NA,written,give,a,4,inanimate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,offer,a,2,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,give,a,8,inanimate,indefinite,nonpronominal,7,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,offer,a,5,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,read,c,2,animate,indefinite,nonpronominal,1,inanimate,definite,pronominal,PP,accessible,given
NA,written,sell,t,7,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,2,animate,indefinite,nonpronominal,2,inanimate,definite,nonpronominal,PP,accessible,given
NA,written,lend,t,1,animate,indefinite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,lend,t,5,animate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,sell,t,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,given,new
NA,written,bring,a,4,inanimate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,sell,t,6,animate,definite,nonpronominal,5,inanimate,definite,nonpronominal,PP,new,new
NA,written,give,c,2,animate,definite,nonpronominal,5,inanimate,definite,nonpronominal,PP,new,accessible
NA,written,sell,t,6,animate,indefinite,nonpronominal,1,inanimate,definite,pronominal,PP,new,given
NA,written,allocate,t,7,inanimate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,send,c,1,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,accessible,new
NA,written,give,a,4,animate,indefinite,nonpronominal,4,inanimate,definite,nonpronominal,PP,new,accessible
NA,written,give,a,17,inanimate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,PP,new,accessible
NA,written,mail,a,1,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,give,a,3,inanimate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,bequeath,f,5,animate,definite,nonpronominal,5,inanimate,definite,nonpronominal,PP,new,accessible
NA,written,give,a,2,inanimate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,new,accessible
NA,written,give,a,10,animate,definite,nonpronominal,3,inanimate,definite,nonpronominal,PP,new,given
NA,written,sell,t,3,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,PP,accessible,accessible
NA,written,sell,t,1,animate,definite,nonpronominal,2,inanimate,definite,nonpronominal,PP,accessible,given
NA,written,sell,t,10,animate,indefinite,nonpronominal,6,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,give,a,2,inanimate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,given,accessible
NA,written,resell,t,2,animate,definite,nonpronominal,1,inanimate,definite,pronominal,PP,given,given
NA,written,sell,t,4,animate,indefinite,nonpronominal,5,inanimate,definite,nonpronominal,PP,new,new
NA,written,give,a,4,animate,indefinite,nonpronominal,5,inanimate,definite,nonpronominal,PP,accessible,accessible
NA,written,give,a,1,animate,indefinite,nonpronominal,1,inanimate,definite,pronominal,PP,accessible,given
NA,written,lend,a,2,inanimate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,5,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,issue,a,1,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,sell,t,1,animate,definite,nonpronominal,2,inanimate,definite,nonpronominal,PP,new,accessible
NA,written,cede,a,3,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,PP,new,accessible
NA,written,give,a,4,inanimate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,given,new
NA,written,sell,t,14,animate,indefinite,nonpronominal,12,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,bring,a,2,inanimate,definite,nonpronominal,1,inanimate,indefinite,nonpronominal,PP,given,new
NA,written,issue,a,3,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,PP,accessible,new
NA,written,sell,t,15,animate,indefinite,nonpronominal,9,inanimate,definite,nonpronominal,PP,new,new
NA,written,sell,t,5,animate,indefinite,nonpronominal,14,inanimate,definite,nonpronominal,PP,new,new
NA,written,get,t,1,animate,indefinite,nonpronominal,1,inanimate,definite,nonpronominal,PP,accessible,given
NA,written,issue,a,10,animate,indefinite,nonpronominal,8,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,send,a,3,animate,definite,nonpronominal,5,inanimate,indefinite,nonpronominal,PP,new,new
NA,written,give,a,2,animate,indefinite,nonpronominal,1,inanimate,definite,pronominal,PP,accessible,given
